year,branch_code,sessions
2012,AB,132024
2012,ACD,131353
2012,AD,16279
2012,AG,140407
2012,AH,11895
2012,AN,36663
2012,AP,18961
2012,BB,19784
2012,BC,25755
2012,BD,19911
2012,BE,45165
2012,BF,101666
2012,BL,177112
2012,BR,8276
2012,BRW,41350
2012,BUR,25885
2012,CC,18786
2012,CE,28740
2012,CED,240834
2012,CH,30061
2012,CL,484789
2012,CS,22640
2012,DA,35962
2012,DM,75424
2012,DO,103227
2012,DP,40648
2012,DR,48770
2012,DT,6192
2012,DU,54256
2012,EA,48329
2012,EB,8451
2012,EG,30367
2012,EN,21394
2012,ES,34997
2012,FH,20652
2012,FP,55771
2012,FV,164649
2012,GE,21811
2012,GHP,46660
2012,GW,11027
2012,HB,8441
2012,HC,23497
2012,HIL,32986
2012,HP,39306
2012,HS,31763
2012,HW,31205
2012,JD,71573
2012,JO,30753
2012,JS,46352
2012,KE,38399
2012,LB,26643
2012,LE,25308
2012,LO,42570
2012,LS,188318
2012,MA,35881
2012,MAL,165136
2012,MAS,132310
2012,MCG,39797
2012,MI,17454
2012,MP,5328
2012,MRV,31081
2012,MS,34166
2012,ND,127600
2012,NE,12532
2012,NT,26430
2012,OV,35837
2012,PA,70725
2012,PE,10329
2012,PK,111474
2012,PL,60005
2012,PM,21846
2012,PU,15438
2012,PV,25879
2012,QS,12243
2012,RD,73429
2012,RI,131921
2012,RN,69640
2012,RX,20822
2012,SA,67645
2012,SB,631
2012,SI,15156
2012,SJ,64006
2012,SL,23702
2012,SP,11709
2012,ST,37604
2012,SW,2759
2012,SWS,129468
2012,TA,13881
2012,TH,80657
2012,TOD,2820
2012,TRL,727822
2012,VV,14772
2012,WE,40117
2012,WP,19629
2012,WS,105207
2012,WY,44020
2012,YO,32464
2012,YW,172783
2013,AB,139402
2013,ACD,133591
2013,AD,16238
2013,AG,180672
2013,AH,11250
2013,AN,30396
2013,AP,17788
2013,BB,22950
2013,BC,21560
2013,BD,22293
2013,BE,46488
2013,BF,112745
2013,BL,171160
2013,BR,84403
2013,BRW,43375
2013,BUR,27563
2013,CC,17750
2013,CE,29350
2013,CED,260191
2013,CH,31225
2013,CL,545403
2013,CS,21563
2013,DA,39138
2013,DM,81804
2013,DO,120176
2013,DP,52063
2013,DR,49088
2013,DT,7000
2013,DU,63350
2013,EA,43594
2013,EB,7575
2013,EG,29788
2013,EN,25243
2013,ES,39200
2013,FH,19988
2013,FP,59211
2013,GE,21888
2013,GHP,48736
2013,GW,12550
2013,HB,8675
2013,HC,22513
2013,HIL,55275
2013,HP,41600
2013,HS,30800
2013,HW,36038
2013,JD,75575
2013,JO,28675
2013,JS,48988
2013,KE,38200
2013,LB,26575
2013,LE,27025
2013,LO,40425
2013,LS,189215
2013,MA,39548
2013,MAL,181120
2013,MAS,111379
2013,MCG,44723
2013,MD,44575
2013,MI,21055
2013,MP,5675
2013,MRV,30713
2013,MS,39950
2013,ND,117777
2013,NE,13700
2013,NT,22372
2013,OV,34600
2013,PA,72263
2013,PE,9638
2013,PK,128159
2013,PL,69688
2013,PM,20863
2013,PU,16875
2013,PV,41325
2013,QS,11863
2013,RD,73788
2013,RI,118823
2013,RN,67213
2013,RX,18938
2013,SA,69388
2013,SB,538
2013,SI,14225
2013,SJ,62200
2013,SL,26075
2013,SP,11245
2013,ST,37838
2013,SW,2575
2013,SWS,147925
2013,TA,15425
2013,TH,88100
2013,TOD,3300
2013,TRL,818494
2013,VV,13675
2013,WE,37488
2013,WP,16738
2013,WS,114088
2013,WY,43200
2013,YO,32475
2013,YW,176806
2014,AB,142159
2014,ACD,149898
2014,AD,16500
2014,AG,166023
2014,AH,11800
2014,AN,28629
2014,AP,18550
2014,BB,26263
2014,BC,24600
2014,BD,20538
2014,BE,41963
2014,BF,120551
2014,BL,174629
2014,BR,83069
2014,BRW,42088
2014,BUR,28275
2014,CC,18738
2014,CE,26025
2014,CED,258188
2014,CH,29988
2014,CL,496202
2014,CS,21663
2014,DA,38850
2014,DM,85624
2014,DO,118894
2014,DP,54988
2014,DR,49650
2014,DT,7150
2014,DU,59313
2014,EA,47626
2014,EB,6538
2014,EG,33350
2014,EN,23452
2014,ES,37063
2014,FH,20288
2014,FO,24150
2014,FP,51997
2014,FV,167961
2014,GE,23425
2014,GHP,50442
2014,GW,12138
2014,HB,8900
2014,HC,24713
2014,HIL,31088
2014,HP,44950
2014,HS,31213
2014,HW,34175
2014,JD,71413
2014,JO,28863
2014,JS,48763
2014,KE,39188
2014,LB,22363
2014,LE,23925
2014,LO,40625
2014,LS,183539
2014,MA,38513
2014,MAL,175932
2014,MAS,128615
2014,MCG,44396
2014,MD,64538
2014,MI,22058
2014,MP,5613
2014,MRV,30650
2014,MS,41363
2014,ND,106577
2014,NE,12938
2014,NT,23049
2014,OV,36975
2014,PA,71899
2014,PE,10063
2014,PK,133343
2014,PL,68339
2014,PM,19988
2014,PU,18088
2014,PV,22738
2014,QS,11150
2014,RD,74888
2014,RI,120461
2014,RN,68213
2014,RX,18875
2014,SA,66100
2014,SB,400
2014,SI,14225
2014,SJ,65038
2014,SL,25688
2014,SP,13242
2014,ST,27963
2014,SW,2488
2014,SWS,137354
2014,TA,14925
2014,TH,89775
2014,TOD,6225
2014,TRL,776844
2014,VV,14638
2014,WE,40363
2014,WP,19200
2014,WS,104775
